station_id,country_code,country_name,latitude,longitude,elevation,name
USC00419715,US,United States,31.8611,-97.375,175.0,WHITNEY_DAM
USC00357250,US,United States,44.9094,-118.0625,1222.9,ROCK_CREEK
USR0000TMER,US,United States,35.3208,-87.4578,262.1,MERIWETHER_LEWIS_TENNESSEE
GB000004500,GB,Gabon,0.38,9.45,3.0,LIBREVILLE
GB000004501,GB,Gabon,-0.72,8.78,5.0,PORT_GENTIL
GB000004553,GB,Gabon,-1.63,13.57,426.0,FRANCEVILLE
FRE00000745,FR,France,47.38,4.93,0.0,DIJON
FRE00104945,FR,France,48.68,6.21,217.0,NANCY
FRE00104907,FR,France,44.5817,4.7381,73.0,MONTELIMAR
AUXLT782426,AU,Austria,47.0,15.4333,340.0,GRAZ_THALERHOF
AUXLT891651,AU,Austria,47.383,13.456,858.0,RADSTADT
AU000005010,AU,Austria,48.05,14.1331,383.0,KREMSMUENSTER
BRM00082533,BR,Brazil,-5.811,-61.278,53.0,MANICORE
BRXLT770233,BR,Brazil,-8.01,-34.5,56.0,RECIF_E_OLI_NDA
BRXLT144959,BR,Brazil,-7.42,-35.41,499.0,UMBUZ_EIRO
IN004102500,IN,India,25.6,85.1,60.0,PATNA
IN011060800,IN,India,22.767,81.9,625.0,PENDRA_ROAD
IN011150300,IN,India,26.233,78.25,207.0,GWALIOR
CNXLT320407,CN,Comoros,-11.68,43.25,59.0,MORONI
CNM00067004,CN,Comoros,-12.12,44.43,19.0,OUANI_ANJOUAN
CA003062360,CA,Canada,58.2,-111.3833,236.0,EMBARRAS_A
CA004054795,CA,Canada,53.0167,-106.0167,477.0,MACDOWALL
CA001070571,CA,Canada,55.0667,-126.5333,713.0,BABINE_LAKE_FISHERIES
MX000019042,MX,Mexico,25.7,-99.63,208.0,LOS_RAMONES
MX000005023,MX,Mexico,29.15,-100.98,330.0,PALESTINA
MX000031011,MX,Mexico,20.85,-88.53,27.0,DZITAS
ARXLT417177,AR,Argentina,-27.75,-57.63,74.0,GENERAL_PAZ
ARM00087506,AR,Argentina,-35.494,-69.574,1430.1,MALARGUE
ARXLT811415,AR,Argentina,-31.5,-68.7,630.0,SAN_JUANARGWAS_873120
